SENTENCE	SLANG_TERM
You just leave him to me , dear .	dear
.. in the real reason why we fell out so , er , kind of , publicly .	er
It 'll chill your shit out .	chill
Since you 're being honest , just be real .	be real
This is becoming quite a habit , innit ?	innit
It 'll take a bonk and a drink to clear me head .	bonk
What , you making noises now , yeah ?	yeah
So , what , the party was crap ?	crap
I 'm gon na take your fucking life , like you took Trife 's .	gonna
Took her to the coat room , found out she had a tenpin up her dress ?	tenpin
Mom , you have spent 20 years worrying about what 's best for me .	mom
And then you get caught up in it and you get kind of into it and just do n't even have time to really ask questions about it .	caught up
Honey , right now , I ca n't even remember his name .	honey
He 's asleep , just like I was before you came knocking on my door , man .	man
Shit starts to remind me of my mom or something .	shit
Yeah , what 's this shit called ?	shit
She only ever calls if she wants money for booze .	booze
Dude , Nomad is not here .	dude
And then I went crazy wanting kids .	crazy
Go smack him up and you 'll get your shit , man !	smack
They 're not gon na make it that easy , are they ?	gonna
Yeah , I 'll see what I can do on that .	see
`` He was born , he effed it up	effed
He 'll be all over the heat .	heat
And when he do n't gots booze , he turns to drugs .	booze
♪ What 's the sort of deal , what 's to fight for ♪	deal
I do not stop , you bastard .	bastard
I 'm gon na reach over and break your neck .	gonna
It means you used to getting away with shit .	shit
Back o ' my legs , my ass , my ass cheeks .	o'
And I 've figured out your trick cherry .	trick
Just try to keep up .	keep up
Got their heads up their arse , mate , so they can stay low on the radar .	arse
Today they began retracing all of the steps of their initial evidence gathering .	roger
Mr. McTavish has moved into gambling , opium distribution and ... pimping whores .	pimping
And I 'll have you later , an ' all .	an 'all
How is it any fault of a kiddie what side of the sheets it 's born ?	kiddie
I just got home , man .	home
You want to get high ?	high
Let me paint you a picture , Jamesy Boy .	paint you a picture
Better luck next time , boys .	release me
Listen , go for a run .	none
When you were shagging Anton ?	shagging
What with so much ... construction work going on in Edinburgh , if we were to , uh , stumble on any other unfortunates ... would you be interested , Doctor ?	uh
- Look , just tell him to go screw himself .	screw himself
♪ Rocks nice and rocks ' em well , yo ♪	em
But on the positive , I took the power back and sent my photo and CV off to the top actors ' agencies .	power
You came here to save your own ass .	save your own ass
One of ' em spat in my face .	em
Do you got any fags ?	fags
I have really wrapped things up .	wrapped things up
♪ Hard times ai n't hard to find ♪	ain't
I know you 're gon na like it .	gonna
- She 's gon na eat her way into the starting five .	eat
I 'm not gon na leave you .	gonna
No , I wan na meet this asshole .	asshole
She must have took your phone !	have took
I was n't gon na let her do that .	gonna
Kim , you gon na go clubbing when we 're back ?	gonna
I 'm sorry it took me so long to bring you here , my son .	my son
I sew and I have a cow .	have a cow
- Alfred Pierre , one for the road ?	one for the road
Kids started writing to me with their own DUFF stories , and when I posted those , more kids responded until it just became its own thing .	duff
Are you guys being serious right now ?	being serious right now
You know , when Washington got wind of this dirty cop shooting that grad student , we had to step in .	got wind
I knew I 'd find you hiding in the same closet .	hiding in the… closet
I think you 're gon na hear crickets .	hear crickets
As in the guy who invented the bomb ?	guy
Ai n't none of us bulletproof .	bulletproof
You 're a hot artist in New York surrounded by groupies and rævslikkere .	groupies
There are not many Picasso .	picasso
- Hey , yo , nigga , do n't kill that !	yo
- That bitch look like she 21 .	bitch
Yeah , I better get back .	yeah
`` Whores getting younger all the time .	whores
They 're '' stomps '' - just slightly above Neanderthal .	stomps
How about I call that Frankie geezer back and see what he 's offering , yeah ?	geezer
Lots of people liked that movie .	liked
They 're keeping her at the home .	keeping
♪ So why do n't you just fade away ♪	fade away
`` hey , maybe you 've never made a girl come in your entire fucking life , ''	come
I did n't have to wade through too many ...	wade
Pharma sales is a lot like dating .	pharma
Here , bring the arms in .	bring the arms
Would you call them dignified human beings , hmm ?	hmmm
Death is waiting in the kitchen when you get up at night for a glass of milk .	death is waiting
No , she 's gon na give it to me .	gonna
- No , I 'm not all right .	all right
We 'll be done with these faggots in ten minutes .	faggots
What the hell did you order ?	hell
Why would this guy go to all the trouble to hack into MIT , and then , you know , just taunt us like this ?	hack
I never told you , I borrowed money from hardcore guys .	hardcore
There are seven people in this room tonight ..... who are giving a little bit of hope to young people in this country .	kid
Now , you 're gon na keep quiet .	gonna
Shit , I got kicked out for being straight .	shit
You know , it must have been , like , a random IP allocation .	like
Yeah . it 'll be like having her thoughts round your neck ,	yeah
He just needed to be confident , 'cause that 's what the girls like .	'cause
I 'll make it up to you , I promise .	make
you could n't just shit in the sink , huh ?	shit
* I know that life wo n't break me	break
- Futile 's a four letter word .	four letter word
Thinking makes me realise that Eddie got his money today , same as always , which means he do n't really give a spunk how I run my girls .	spunk
I talked to Rodrigo about you , man .	man
I was just calling Daddy to see if he can take you to Emily 's party tomorrow .	daddy
- I dosed six hours ago .	dosed
There 's only one in a thousand fellas that 's figured it out .	fellas
You can go nuts trying to figure out which tack to take .	go nuts
It 's basically a cock ring .	cock
But most of them just fooling around with him .	fooling
Is his last name Theodopolis ?	eh
Of course , the flip side of that one is , if you do give up ,	the flip side
No , you ca n't be serious , mate .	mate
I love you too , daddy .	daddy
Oh my God Sheriff , you 've been shot .	my god
If your father had been a better man , your mother would n't be where she is now .	better man
Ay , and since , too , murders have been committed .	ay
Look , I told you before , Winnie was gon na stake me when I got out .	stake
What do you mean he 's gone ?	mean
Senior at East Side High .	heavy
Dirty redneck ai n't been up here , man .	dirty
Listen , I have some news .	have some news
( Hicock ) Yeah , go on then .	yeah
I 'm just trying to get more of these thingies , these flirties .	thingies
Fuck your ' do , and fuck your whores .	do
- And I can run it , Wesley !	run it
Funeral will be on the telly .	telly
Why do not I get us a bite to eat ?	a bite
I need to talk to you about something really quick alright ?	really quick
Careful mate , he 's our case .	mate
He treats women like they 're trash , but he makes six figures .	trash
Some crackhead must have took it out of the house .	crackhead
You 're gon na be massive , boys .	gonna
You know , just because you forgot about the FP do n't mean it forgot about you .	yo
Bled three pints of blood onto her daddy 's clothes .	blood
Flex it in your what-nots .	flex
That 's really going to help .	help
Why do n't you have some , eh ?	eh
You think you 're big , Jay .	big
It 's got ta be worth a go .	gotta
I 'm gon na have to go .	gonna
Well , Julie 's gon na show me around this ghost town .	gonna
I ai n't got nothing against you , but I do n't think we got anything more to chat about .	ain't
`` We 're going to expose you at DEF CON ,	def con
Then why are you still swimming ' round in that same muddy little pool , huh ?	huh
The Scouser said he used a meat delivery van as his cover , so he 'd only drop at suitable places , restaurants or big pubs that serve food .	scouser
Your craft service guys have not even heard for paleo and you 're not exactly-	paleo
This is a bad time to walk away now .	walk away
Killer expended his energy on Loren .	killers
I 'm sorry , I have a tickle in my throat .	tickle
Erm , I do n't really want to talk about it .	erm
Charlotte , there 's something I would like to talk to you about .	hanging
Give me your fucking money , man !	man
You 're gon na have to take care of yourself for a while .	gonna
Have you got the weed ?	weed
I mean , sure , you 're mildly attractive and mysterious , but it gets kind of tired after a while , you know ?	tired
Your client 's gon na get convicted , and he 's gon na get sentenced to the maximum .	maximum
I do not know why you put up with him .	put up with
Hell , the Times is less than a hundred miles away .	hell
Hold up , hold up , hold up !	hold up
So just , you know , for everyone 's sake , slow down next time , okay ?	everyone's sake
♪ He 's a loving kind of guy ♪	guy
your pal Miller here tells me ... you 're so far back in the closet , you 're in fucking Narnia .	pal
Listen , Jay , I do n't think this is a good idea , you know .	blood
It 's got all the hardware in place .	hardware
Make the decision to turn up well in our lives over to the care of God as we understood him .	decision
The next morning , without telling me , she went to the chief elder and asked to be released .	elder
Raymond Vincent Calitri did fîve years in South London for manslaughter .	did
Of course , the champions were crowned earlier this morning , and the race itself closed hours ago , but it 's apparently not over for one very determined racer .	crowned
I just need you to bridge me .	bridge
You got ta shake it up to see the snow .	gotta
[ Mimicking In Fast , Mousy Voice ]	cow
Somebody told me it 's four miles to the bogs .	bogs
The bump can be a little more dramatic .	bump
I 'm gon na cut to the chase .	gonna
Oh , look , he looks like a gay porn star running from a bunch of rabid fans .	rabid
- You looked at 46 porno sites today , Jon .	porno
Let 's fill her up , save these yahoos and get out of here .	yahoos
- Come on , Reuben , nor even a dog 's dumb enough to buy that one .	dumb enough to buy that
- Yeah , but it did n't count .	count
Run ' em out of town .	'em
Two months we negotiated with these pikers .	pikers
Hi , this is Craig , your pilot .	electrical storm
- What do you mean , you do n't know where you 're goin ' ?	hell
It was a nightmare getting here with all the madness .	madness
But the cop just walks away .	cop
Yeah , with the straight here , front , roll down .	straight
Now do the same on your partner while making sure to continue to look deeply into each others ' eyes .	deeply
Well , do n't you find it exhausting , still running around , going to parties and chasing girls ...	chasing girls
Whoever robbed you knew exactly where you were gon na be and that you were carrying that money .	gonna
- This is n't close to public property .	close
- Well , now , that 's hittin below the belt .	hittin
There 's still a guy in here with me .	there's still a guy in here with me
Yo , do n't do it , man .	yo
Churchill Schwartz is behind that ?	behind
- YEAH , HOLD ON A SECOND .	banging
- Can you trick with the door handle ?	trick
Look , just go to next door for me , yeah ?	yeah
Someday , uh , you 're gon na have to run one of these with me .	gonna
Oh , that is killer cute !	killer cute
Yes , I can look it up .	look it up
Just do n't get in that zone too early or else you will be loco when the race comes .	loco
She cried in her room for days , maybe weeks .	baby girl
And how it would be a tad embarrassing if , uh ... well , if anyone found out about it .	tad
Don 's gon na be back soon .	gonna
- Sir Ass ai n't got nothin ' to say to your ass .	ass
and I play my cards right ,	play my cards right
Keep it real for the people working overtime	keep it real
This is gon na be so cool .	gonna
Yeah , well , there 's no way that freak is stepping foot in my dad 's country club .	freak
You got to be kidding me .	kidding me
- Yeah , but I 've got to be somewhere , though .	yeah
- You shut up and get down .	shut up
It 's not that I stopped wanting to be a doctor .	it's not that
But I hope mommy acts more like you .	mommy
I 'm not a scout , I 'm a lawyer .	scout
How do I make this go away ?	go away
I was like * Woooo woooo	woooo woooo
( Marky ) We ai n't done yet .	ain't
I was nervous , relying on the school Neanderthal , but what was the worst he could do ?	school neanderthal
- Okay , I 'll just wait , then .	okay
I say get off your high horse .	high horse
It 's what all the big businesses do , so why the bloody hell ca n't we ?	bloody
Muriel knows how to walk this thing .	this thing
I mean , when I look back now and think of the changes we made to the House of Lords , getting rid of the Hereditary Peers ,	rid
If you wan na eat , do your best .	wanna
It 's magical comfort food for the weak and the uneducated .	dependant
Even one thing befalleth as the one dieth , so dieth the other .	befalleth
Just do n't push it , yeah ?	yeah
He 's a great bargain hunter .	bargain hunter
Oh , so I 'll see you tomorrow then , yeah ?	yeah
Let 's done start Got ta ti// the ground	gotta
I 'm sorry to hear about your mum- ah , mom .	mom
Yeah , but why ... it 's not my fault her husband 's dead .	yeah
I 'm not a good basket to put all your eggs in .	basket
I 'm sorry about that , sweetie .	sweetie
We love to fill ourselves at parties .	fill ourselves
So things will be better tomorrow .	homeys
- You need a bath mat , love .	love
You know the film 's done .	pretty
No one ever drowned by getting in water , son .	son
Not that it ever made a difference .	skinhead
Hey , he 's not gon na bite you .	gonna
I interpret dreams ... for a beer .	interpret
If we got the head off ...	head off
Will you be all right for ... them lot to know , if you 're not embarrassed ?	them lot
You 're just a piece of ass to them .	piece of ass
What , you think I 'm gon na tell on you ?	gonna
They all wan na have a rep .	wanna
Sunnyside up , not too runny .	sunnyside up
- Yeah , just in case we ...	yeah
Because , in spite of you , I feel this dysfunctional sense of responsibility ... to make sure that you 're okay .	blind as a slab of concrete
- Oh , this kitchen 's gon na knock you out .	gonna
I want to place you guys , but I 'm not sure where yet .	guys
¶ Hooray up she rises ¶	hooray
First the guys at the diner , now this .	now this
Every week , hundreds of thousands of people cram their way into these places to follow their team .	cram the way
You 're out of your mind .	out of your mind
# It 's such a good vibration #	vibration
* Lying on the ground , * with the sun beating down on me . *	sun beating down
Nobody 's gon na save the planet but you folks , you know that ?	gonna
That girl 's been acting like a mental patient for 12 hours .	still
- All right , if yous are making me .	all
I 'll try not to miss the potty .	potty
So get your ass back here .	ass
Are you gon na turn that shower off ?	gonna
Be back in a while , yeah ?	yeah
♪ Lady Luck , she is lovely	lady luck
she ai n't gon na open it , is she ?	gonna
That 's why you get parred !	parred
And the channel of communication stays open .	channel of communication
I 'm taking a huge hit on the loft ,	hit
There 's also a roster of key family members , a glossary , sailing terms .	key
Right , this is where all the fucking Pakis go to work in the chicken factory .	pakis
Oan I see that for a second ?	second
I told my shrink , and she said I should act on it .	shrink
Not from what I hear , you ho !	ho
Don ai n't got no friends .	ain't
Do n't you think someone should keep an eye on Mr. Witherspoon ?	eye
Got the same birthday as your mummy , have n't you ?	mummy
No , he 's a good daddy .	daddy
right , it 's 11 now , i 'll meet you around 3- okay okay , do you know where the Arcade is ?	okay
So I made a good choice ?	good choice
The whore on the street corner .	whore
I 'm good to her ass .	her ass
I got ta take a leak .	take a leak
- Yeah , well , they 're all right .	yeah
Get the pipe out , blood .	blood
I mean , I do n't care if we made a record and no one bloody listened to it as long as it was a record that we wanted to make .	bloody
- She never done nothin ' to you !	nothin'
There 's a big rig over there ...	big rig
S my D you cheatir potato sprout bitch !	s my d
So , I guess she thought that if she left me there , they 'll put me with a really nice family .	check me up
And if I do n't get into Harvard or Stanford , my father is just going to kill me .	kill me
I should n't have broken up with Sophie .	broken
We 're going to pay you , man .	man
I 'm out of breath cos I had to rush back from lunch .	cos
- Turn it up , please , Kate .	turn it up
Just chillir before the match .	chillir
Derby County in the white shirt ... very much the underdogs ... as they face the First Division champions .	underdogs
This does n't mean t hat I 'm not gon na ... give up that night .	gonna
Gon na have to walk your dumb ass to my house .	gonna
So let 's get down to brass tacks , shall we ?	brass tacks
Please stop calling me honey .	honey
They 're a pair of confidence men !	confidence men
Because our kid 's run off because he hates us so much because of what we do .	kid's
I 'd like so very much to kiss you in a special place .	special place
So they want seasoned hairbags like you breaking these recruits in .	hairbags
You know , Iris , when you catch your guy with another woman you 're not supposed to stay friends with him .	catch
So come on and join the party , sweetcakes .	sweetcakes
It 's the easiest way for a woman to make money , innit ?	innit
Well , I could go with the tall tapered arrangement with tulips and freesias and orchids or I could go with a votive of roses and lilies , I do n't know .	well
Dude , she probably thinks you 're some millionaire 's son with all those boss shirts you 've with all been borrowing from Scott .	boss
We have a visua/ of the suspect .	visual
We got the rest of our lives ahead of us !	rest
Okay look , try them on .	okay
What the hell is going on ?	hell
Police in Luther County are investigating the mysterious death of the former policeman and private investigator Winston Lee-Burrill after his body was discovered early this morning .	killers
You made a mistake picking a kid to do your dirty work .	dirty work
Yeah , I 'm on it still .	yeah
You are going to have to give me a wee bit more to work on .	wee
Is it true , they 're gon na let us play in a few weeks ?	gonna
Where you gon na go then ?	gonna
No , I mean it , blood .	blood
You 've not heard of boats ?	not heard of
But that 'll all change when we 're married .	kid
- Oh , the family 's got money ?	money
I 'm sorry , sir , I 've got to ask you a couple of questions , is that OK ?	ok
Want to smell my fanny ?	fanny
About your brother and the deep shit he 's in .	shit
The day you arrested him , got 6 of your mates to put him in the van while you watched , like the little pussy'ole that you are ,	mates
They 're prepared to let dad buy it for 300 grand to keep it as a pub , but he 's got three other pubs with the same problem .	grand
Look , I 'm coming to ya .	ya
- I got stories up the wazoo .	wazoo
My eyes were welling up as well .	welling up
♪ You 've got the style that makes my heart sink ♪	heart sink
Do n't go runnir from me .	running
What would it be like to be able to be like that ?	be like
Now , I 'd assume a smart lad like you would n't have announced your intentions to rob Steven Roper all over town , so I also assume the only people who knew about this were you , your three friends and your estranged other half .	lad
What the hell 's going on back there ?	hell's
I 'm sorry if you feel like you did something that you did n't wan na do but I would never have forced you to do anything .	wanna
If you were looking for a way out , you found it .	way out
We get 100 little shits like you , transferred from youth corrections every year .	shits
Um , yes , no , I 'm right .	um
What else would she be there for ?	erm
Why do n't you get him a towel or something ?	something
I know , man , I know .	man
- It can go to answering machine .	answering machine
Competing reps are not your friends .	reps
All the time wondering if you 're gon na break up with me .	gonna
None of us want to go back on the game .	on the game
Ca n't leave room for lots of little copycat 's to start popping up .	copycat's
She works out of the crib not too far from here , if you know what I mean .	crib
There was never rules about this .	rules
- Never had you pegged for the father type , Peter .	pegged
There is no turning back !	whoa
You want to make one last trade ?	last trade
Caitlyn , can you make sure you get a shot	shot
That 's how it was done way back .	way back
I really did n't mean to knock that table over back there .	anything like
Because I have less down here , probably .	neckline
Mason , give us a hand with this mike , will you ?	give us a hand
This next track is dedicated to all the guys out there whose and devoured for breakfast by cute , peppy , social-climbing	peppy
And has he got a job ?	sort of
♪ and keep on lovin	lovin'
Are you gon na kill the man that did it ?	gonna
See you back in the real world .	real world
I 'm over the moon you 're here .	over the moon
Throw the weapon down , son .	son
Sam , I need that tall decaf vanilla drip right away .	decaf
That would imply you got a car in here for repair .	loaner
- I need some water , mate , yeah .	yeah
Well , golly , it is very small type .	golly
I knew you 'd come back .	mom
As for me , I 'm staring here at solid white chop .	chop
He 's still gon na have to give the prize money back .	gonna
I 've never met anybody that type before .	anybody
Some bre attacked me when I come out .	bre
I think in our eyes we were just playing a game of football with our mates .	mates
Tyko , if you did that in Texas , it would have been illegal , okay ?	okay
I said I did n't want Any daddy but him .	daddy
That my sister , ai n't it ?	ain't
You 're gon na back me up .	back me up
- Yeah , it 's going to look beautiful .	yeah
And I 'm gon na ask you for your help , once more .	gonna
He 's been hitting close to 400 since his folks came to visit him .	hitting close to 400
Also , we have to consider the possibility ... that she 's been feeding us false intel , maybe even from the start .	intel
Get this , man- '' You can suck me off next week . ''	suck me off
The most honest guy I know .	guy
Why do n't you put that camera away already , dawg ?	dawg
They wan na do a three-day psych evaluation at Roosevelt Hospital .	psych
It was , like , in balls .	balls
* Then I find they were your sick little games . *	sick
Taken you for a fool .	fool
If we shirk and take a caffeine drop ?	caffeine drop
♪ cool as the water that I 'll pour ya in the morning	ya
Your parents should have encouraged it .	spirit
Or is your man a jaffa ?	jaffa
Just , this shit does n't grow on trees .	shit
Three days commissary says Jongo 's gon na turn him out quicker'n nothing ' .	turn him out
What do you taste , sir ?	taste
I 'm just working in a salon , innit .	innit
Because they make you feel cool .	cool
Get your ass back in that seat .	ass
He wanted to know when he was gon na become a grandfather .	gonna
You really want to get this site on the map ?	on the map
I 'm a dentist , and when people need it , that 's great .	dentist
You look like you 've been through a war .	war
California has made more mistakes than Yogi Berra reciting Shakespeare .	ugly
- Looking good , is n't she , mate ?	mate
- Yeah , I wan na bet if Sean was there , that shit would n't have happened .	shit
I 'm gon na have to live with that too .	gonna
Do n't be rough with him , Lol .	rough
'Cause he wanted to keep yo ass safe , tell you when the time was right .	ass
Hey , are you sure she 's OK ?	ok
I 've got this young girl I want you to have a look at .	got
And frankly , much like you I 've heard enough .	frankly
Listen , ma'am , we 're gon na be late for this briefing .	gonna
- You smashed up somebody 's car ?	smashed
Let me get this straight .	straight
I do n't even have a glass in mine ... and the wind 's whipping me and making my eyes teary , and I can barely even keep them open .	whipping
When I first arrived in Tinseltown there were no cineplexes or multiplexes .	tinseltown
# Put me on the blink	on the blink
Thus it is physically impossible for you to deviate ...	physically impossible
You could do with shifting a few pounds .	shifting
The waves , they were fiddling ' and small .	fiddling'
Signing the paper and that .	that
Yo , yo , some freaky-deaky shit going on there , man .	yo
I did n't touch her , man .	man
# ' Cause I 'm talking pi , bro , I 'm talking ... # 1141592653553 ... # 9793238462643 ... #	bro
You want the truth , I doubt if it 's gon na get us where we 're going .	gonna
What do you mean it 's none of my business ?	business
What the -- listen , you little shit , whatever the fuck your name is , if you expect to come back here tomorrow and have a job --	little shit
We could all use a little bit more happy in our lives .	happy
I just never figured I would , you know , and ... whereas I , when I was growing up in Edinburgh , you know , before I became Commander James Bond , for me , I was quite withdrawn also .	figured
You 're a frigging bully , Gadget .	frigging
Put that heartbeat thingy whatnot on him .	whatnot
While women will always be a problem for guys like us ... most of the great art in the world is about that very problem .	problem
It 'd be so dang easy .	dang
Be all exotic r shit .	shit
I better dust before my man gets annoyed , yeah ?	yeah
- No , you got ta stab in the right spot .	stab
Are you seriously mad at me right now ?	seriously
- I could be a pimp .	pimp
Yeah , apart from that little wobble I had .	yeah
All right , everyone , three more weeks until the final .	longer
Then , soccer hunks , lacrosse studs , fraternity presidents -- ohh -- fraternity keg-masters , guys with cars with parking passes , guys with cars kind of a waste of time -- [ Man ]	hunks
Stubborn ole bastard does n't have a phone out there .	ole bastard
You need to stop reading so much.Trains you little geek .	geek
Damian , go and give Terry a hand in the kitchen will you ?	a hand
Must be important ... if you wan na talk to me .	wanna
♪ Now I 'm turning a page ♪	page
What 's with the questions , man ?	man
Last night meant more to me than you know .	mickey
- He went down to Florida with that asshole Frankie Fish .	asshole
It 's time for you to overdose .	overdose
Gets involved with this gang knocking off post offices .	knocking off
Do you think I could still block you at the rim ?	block
Because I think she 's full of shit .	full of shit
Get out of here , you waste of skin !	waste of skin
- Do you think Brian fancied her ?	fancied
- If they come inside you , does it burn ?	come
Right now , you owe the record company more than you 've got .	hole
Some figs would 've been nice .	figs
Put him back in your pants .	pants
She wants to go down on me .	go down
Well , I can give it a shot ?	cooty cat
The woman you 're with is a killer .	killer
You 're gon na be all right .	gonna
Flip the power dynamic , and you let her know you 're here to play .	play
Like how I hate wobbling about like a twat , how I 've started to lose control of my bladder and it wo n't be Mung before I lose control of my arse and start to shit myself .	twat
Shit goes south , drops like it 's hot ...	shit
Now , I have to post guards .	post
And they buy a plasma TV , cell phones , computers , an SUV .	suv
You know , there 's a pizza joint right up the block here .	joint
I kind of wan na reach out , but I 'm not really sure	kind of
Put him in the van .	sucked
I wan na know what happened to my friend John .	well hes gone
It 's better for flirting , not-so-accidental touching , making out .	making out
I , er ... need to know the competition .	er
That 's the dynamic we agreed on .	dynamic
The man mountain , the yodeling flingy .	flingy
You got ta get them back .	gotta
I wan na see my kid and ....	kid
Oh , yeah , I remember you .	sorry
`` You 're gon na grow up to be such a pretty young lady . ''	gonna
You boys look like you got busted in a brawl in Scollay Square .	busted
It 's exactly what I needed .	what i needed
Ai n't seen her for a while .	ain't
♪ There 's such an air of spring ... about it ♪	air of spring
You calling me a gold digger ?	gold digger
The old Mick , you 've only gone viral .	viral
Look , I was just wondering whether I could bring a few people down to the gig .	gig
This has been too much academic debate for one day .	academic debate
Well , yeah , I 'll tell you what , I 'll give you a tape .	yeah
That 's right we ai n't got all day .	ain't
She 's the most beautiful thing I 've ever seen in my life .	beautiful thing
- Well , your ball is in the rough , but it 's a good feeling , huh ?	huh
I did n't come to be lectured by some cocky little twat from the North East .	cocky
Looks like massive PE , and his right ventricle is starting to give out .	pe
# Black hair , white Strat , bled white , died black	strat
The hell with it , right ?	hell with it
Well , they 're just plain wrong .	plain wrong
What 's going on with you ?	what's going on
Not that strong if you 're talking to me .	talking to me
I 'm going to the store , '' There a bitch at the store ? ''	bitch
- It had to be a girl car .	girl car
You blow your horn and wave to the lighthouse keeper 's kid on Thatcher Island .	kid
Which means we 've got ta get it right .	gotta
Yeah , but that 'd be weird .	yeah
♪ He knows Kirby 's upstairs Bangin ' his mum	bangin'
He wo n't have to run about so much now , will he ?	fat bastard
Even in nature there are blended families .	blended
But what I need you to do is relax .	kids
I 'm not so sure I wan na do it either .	wanna do it
- No , I do n't buy it .	buy
I knew you were cool .	cool
bring his ass over here !	bring his ass
You got ta learn the difference between guns and butter .	guns and butter
Ca n't be half as great as mine .	minds blown
I 'm not blessed with much fashion acuity , but I know a plonker when I see one .	plonker
Cos he used to stand up like that , looking at you .	cos
He tells her that the French government is screwing everything up .	screwing
Bretton James ' division was over-invested in the Internet bubble collapse .	internet bubble
I want you to have a good view of the show .	good view
Yep , I love you too .	yep
Get out of here , man .	man
I thought that would get you .	get you
Hackett , hold up a minute .	hold up a minute
Move , man , move over , dawg .	dawg
Cos you wanted this yesterday , brother .	cos
Look , I was going to cook myself fish fingers and watch the match on telly .	telly
We 're kind of like an underground railroad and shit .	underground railroad
- Oi , do n't ask about that shit , bruv !	oi
Said they played like thugs .	thugs
Not if I talk to your professors and they agree to flunk you .	flunk
Oh , I bet you 're just stunned , right ?	stunned
They want him , and they 're gon na say that you 're not fit to care for him .	gonna
And I mean that from the bottom of my heart .	bottom of my heart
Then you take your bra off the side .	smack
If we keep our cool , this thing could still work .	cool
Did you have a good time with your daddy ?	daddy
The bellhop confirmed he was the billionaire media mogul Hobbs , and , $ 1,000 bucks later , he gave me his room number .	bucks
I 'm going to give each one of you a year or two of the investigation and 24 hours to get to grips with the files .	get to grips
Run the game with me .	run the game
So anyways , I got my sights on this new one .	sights
- He got stuck in a radiator .	stuck
Then I 'd suggest you see to your duties before you start galavanting .	galavanting
You know , they say parents are the bones on which children sharpen their teeth .	bones
When our car broke down , we kind of got lost .	broke down
I 'm a little tired , I 'm a little wired , and I think I deserve a little appreciation .	wired
And how long 's that gon na take ?	gonna
- I 'm not gon na talk to him .	gonna
Skipper say anything about us coming up short ?	skipper
I 'm not really planning on busting up out of here	busting up out of here
You know , like , embrace the team spirit .	embrace the team spirit
And you 'd sooner fester down there with all those bloody Tories in that blue- rinse retirement home by the sea ?	bloody
They 'll need to make the next change-over count .	slipped
Do this deal and I 'll see nobody knows about you .	deal
It 's all right , babe , we 're almost home .	babe
just make us look cool .	cool
You 're funny , you 're articulate , you 're smart .	true and true
And that is really cool .	cool
How long you gon na keep me in here for ?	gonna
Until then , you 're an old guy in the 20s .	old guy
I told Penny this morning 51/ 55 for the bridge , but I did n't say anything for the front , but ...	bridge
With a hell of a crew .	hell
Oh , it 's just up a ways .	just up a ways
I do not play games , little girl .	play
( Billy Two Hats sings in blues style ) J * The bottom line is I 'm all messed up ...	messed up
Kid 's hitting 350 , ready to move to Double A .	kid's
Hell 's yeah , I would have had your back .	hell's
I 'm supposed to think you grew a heart .	grew a heart
Yo , let me hit that .	yo
- But you got that look .	that look
We can strip down and shine the hood .	strip
`` I 'm not sure I can handle complicated '' ?	complicated
I ai n't trying to be his father .	ain't
And would you like a cup o ' tea too mate ?	o'
The day you arrested him , got six of your mates to put him in the van while you watched , like the pussy'ole that you are ,	mates
Mrs. Stromming , can we have a word ?	word
some jerk locked up in the Jersey Prison .	jerk
- He 's got ta be so embarrassed .	gotta
We 're planning on yanking $ 42 million .	yanking
I 'm sorry , but , you know , you ca n't barge in and expect to become one of them in six months , either .	barge
Things are gon na be good now .	gonna
All right , I 've got you .	got
Yeah , come we play this .	yeah
Yeah , we 've got a couple of suits you can give a go .	yeah
If that thing is , like , a piece of shit ...	that thing
So , last night was good fun , were n't it ?	weren't it
Not your unremarkable life story .	life story
I still gon na give you a neckline as much as I can .	neckline
I mean , it 's got to bug the shit out of you , too , right ?	bug
I would love to go , but I 'm a disaster .	disaster
Look , sweetie , I 'm gon na go , OK ?	sweetie
Legend has it , when the Santa Anas blow all bets are off .	bets are off
I was n't taking the mickey , Scott .	mickey
- Think I 'll have to sit this one out , eh ?	eh
♪ Gal , you sure look good to me ♪	gal
- Do you ... have any experience with , like ... demonism ?	demonism
Uh , sort of like a ...	sort
The tricky part is , if you separate them , it feels like the end of the movement goes down , because it gets darker , you know , by making a richer back ...	tricky
Take it easy now , tj .	plumbing
Tell me I look beautiful .	i look beautiful
[ Lowers voice ] Can you pay , Toyland Toyland .	toyland
Oh yeh ... they had a dirty trick up their sleeve	yeh
Ah , and you are the boyfriend ?	ah
Honey , but when you 're near me	honey
♪ I 've been such a drag	drag
Well , who would have thought it .	who would have thought
I need you to feel what I knows .	knows
BTRO was my best nig , yo .	nig
So , Felix ... tell me ... if you had a golden ticket ... and you could pick any girl ... or any guy ... to take upstairs for a very quick , no strings attached , no questions asked shag ... who would it be ?	shag
Any chance you can get me any weed ?	weed
From the looks of it , the only lifelong commitment you 'll have is with your right hand .	right hand
Hey , I would like to check these out .	check these out
Again , she can not just barge in here every time she loses her glasses .	barge
- Horse , have a pint with me , son .	son
Cops get anything out of Decosio ?	cops
It 's not going to work out for us .	keep it light
Then big brother takes the fall for the slip-up .	big brother
- A nice wife and some nice kids ?	kids
So you just watched while Chris pushed him around ?	pushed him around
And that is why they pay you the big bucks .	big bucks
... report that the subways and buses are starting to run , as well .	starting
